context,answer
ما هي الكميات الفيزيائية التي يهتم بها تخصص ميكانيكا الموائع؟,يمكن تقسيمه من ناحية إلى إستاتيكا الموائع- أو دراستها في حالة عدم الحركة،
ما هي الميكانيكية التي تميز الموائع عن المواد الأخرى؟,هي مواد لا تتأثر بوجود إجهاد ميكانيكي في اتجاه مواز لسطحها، وهذا هو السبب الذي يجعل الموائع الموجودة في حالة عدم حركة تتخذ شكل الوعاء
ما هي أساسيات الانتقال الحراري وسريان الموائع؟,للانتقال الحراري وسريان الموائع تتكون أساسا من معادلة الاتصال (معادلة حفظ الكتلة) ومعادلة حفظ كمية الحركة ومعادلة حفظ كمية الطاقة.
ما هي سلسلة الأجداد الخاصة بالخليفة عبد المجيد الثاني؟,بن عبد العزيز الأول بن محمود الثاني بن عبد الحميد الأول بن أحمد الثالث بن محمد الرابع بن إبراهيم الأول بن أحمد الأول بن محمد الثالث
متى تولى عبد المجيد الثاني الخلافة ؟,من 19 نوفمبر 1922
متى انتهت فترة حكم عبد المجيد الثاني؟,3 مارس 1924.
ما هي الفترة الزمنية التي حكم فيها الخليفة عبد المجيد الثاني؟,تولى الخلافة من 19 نوفمبر 1922 حتى 3 مارس 1924.
متى  ولد عبد المجيد الثاني، ابن السلطان عبد العزيز الأول؟,، في 29 مايو 1868
أين ولد عبد المجيد الثاني، ابن السلطان عبد العزيز الأول؟,في إسطنبول
كيف تلقى عبد المجيد الثاني تعليمه؟,بشكل خصوصي
متى أصبح عبد المجيد الثاني ولي العهد ؟,1922
ما هي الجمعية التي انتخبت عبد المجيد الثاني للخلافة ؟,الجمعية الوطنية
"ما هي الغواصة التي يشار إليها بـ ""عبد الحميد الثاني""؟",«تحت البحر»
ما هي أدوية تخسيس الوزن وعقاقير خسارة الوزن؟,كلها عوامل دوائية تقلل أو تتحكم في الوزن.
كيف تعمل الأدوية المضادة للسمنة في جسم الإنسان؟,تغير واحدة من العمليات الأساسية لجسم الإنسان، وتنظيم الوزن، عن طريق تغيير إما الشهية، أو امتصاص السعرات الحرارية
ما هي طرائق العلاج الرئيسية لزيادة الوزن والسمنة المفرطة؟,"تبقى اتباع نظام غذائي وممارسة الرياضة البدنية.
في الولايات المتحدة أورليستات (زينيكال) والمعتمد حاليا من قبل إدارة الاغذية والعقاقير للاستخدام على المدى الطويل"
ما هو دواء أورليستات (زينيكال) ؟,والمعتمد حاليا من قبل إدارة الاغذية والعقاقير للاستخدام على المدى الطويل
وما هو آلية عمله في تخفيض امتصاص الدهون؟,أنه يقلل من امتصاص الدهون في الأمعاء عن طريق تثبيط البنكرياس الليباز
ما هو دواء ريمونابانت (أكومبليا)؟,الأمعاء عن طريق تثبيط البنكرياس الليباز. ريمونابانت (أكومبليا)، وهو دواءا آخر، ويعمل عن طريق إحباط معين للنظام كانابينويد
وكيف يؤثر على الشهية وعملية التمثيل الغذائي؟,والذي غالبا ما يشار إليه باسم «المأكولات الخفيفة». وقد أقر في أوروبا لعلاج السمنة لكنه لم يتلق موافقة في الولايات المتحدة أو كندا بسبب مخاوف تتعلق بالسلامة
ما هو دواء سيبوترامين (ميريديا) ؟,الذي يعمل في الدماغ لإحباط تعطيل الناقلات العصبية مما يقلل الشهية
ما هي الآثار الجانبية الشائعة للعقاقير المضادة للسمنة مثل زينيكال وميريديا؟,"فمن المستحسن أن العقاقير المضادة للسمنة يتم تداولها فقط بوصفة طبية المنصوص عليها عن السمنة حيث من المؤمل أن فوائد العلاج تفوق مخاطره.
آليات العمل"
متى يجب استشارة الطبيب بشأن تناول العقاقير المضادة للسمنة؟,لهذا ينصح بتناول حيمينات متعددة قبل أو بعد تناول الزينيكال بساعتين.
كان هناك أعشاب تستخدم للتخسيس؟,هناك عدة قواعد تتبع عند تناول الأعشاب كعلاج. ولا تؤخذ أي أعشاب مع أدوية الأمراض المزمنة
ولماذا تم سحب دواء سيبوترامين من الأسواق؟,سحبه من الولايات المتحدة والأسواق الكندية في أكتوبر 2010 بسبب المخاوف حول القلب والأوعية الدموية
ما هو تاريخ اليوم  3/9 ؟,مارس أو 9 آذار أو يوم 9 \ 3 (اليوم التاسع من الشهر الثالث
كم يوماً يبقى لنهاية السنة بعد يوم 9 مارس؟,يبقى بعده 297 يوما لانتهاء السنة
ما هو الفرق بين السنة البسيطة والسنة الكبيسة؟,هو اليوم الثامن والستون (68) من السنة البسيطة، أو اليوم التاسع والستون (69) من السنوات الكبيسة
ما هي الطريقة التي يتم بها تحديد عدد الأيام في السنة الكبيسة؟,وفقًا للتقويم الميلادي الغربي (الغريغوري)
ما هي الحياة المهنية لماري كروير؟,رسامة دانماركية
من هو بيدر سيفيرين كروير؟,أحد أنجح أعضاء مستعمرة الفن المعروفة باسم رسامي سكاجن
ما هي العلاقة بين ماري كروير والمؤلف الموسيقي السويدي هيوغو ألفين؟,علاقة غرامية
كيف تأثرت حياة ماري كروير بالمشاكل الزوجية ومرض الزوج؟,صارت الحياة الزوجية أكثر مشقة
ما هو دور ماري كروير كفنانة في حركة التصميم والعمارة؟,نشأتها وتعليمه
ما هي محاولات ماري كروير لتعزيز تعليم الفن للنساء؟,رغم أن كروير كان رافضًا لمدرسة «الرسامات الشابات
ما هي اللوحات الشهيرة التي قدمتها ماري كروير؟,سبب إسهاماتها الكبيرة في التصميم والعمارة
ما هي مصادر تعليم وتأثير ماري كروير في الفن؟,متعت بحياة طبقة وسطى مريحة في نشأتها في منزل آل ترييبكي
ما علاقته بماري كروير؟,زوجة بيدر سيفيرين كروير
كيف تأثرت ماري كروير بالانطباعية الفرنسية في عملها الفني؟,تعلمت هناك مبادئ المذهب الطبيعي، وتأثرت كثيرًا بالانطباعيين الفرنسيين
من هي راميا الإبراهيم؟,صحفية مقدمة أخبار ومذيعة وممثلة صوت سورية
في أي مجالات تعمل راميا الإبراهيم؟,كصحفية ومذيعة أخبار ومراسلة
في أي قناة تعمل راميا الإبراهيم كمراسلة؟,قناة الميادين
ما هو دور راميا الإبراهيم كممثلة صوت؟,كممثلة صوت في مركز الزهرة
من هي حنينة بنت سلطان المغيرية؟,دبلوماسية وسياسية عمانية،
